,State,Proportion Some College,Proportion No College,Proportion Not In Labor Force,Proportion Employed,Proportion Unemployed
0,Alabama,0.4711513312758278,0.5288486687241722,0.4572631689072553,0.5113511534236543,0.03138567766909034
1,Alaska,0.4620522161505768,0.5379477838494232,0.3412264723740134,0.5863185589961546,0.07245496862983201
2,Arizona,0.5410586498757497,0.4589413501242503,0.43315707852992286,0.5312681003718167,0.035574821098260496
3,Arkansas,0.429178835251675,0.570821164748325,0.45108228826662083,0.523277787321766,0.025639924411613123
4,California,0.5650812397712126,0.4349187602287874,0.38068130051122845,0.5817273785621488,0.037591320926622686
5,Colorado,0.6323974484332077,0.3676025515667924,0.3419937607673325,0.6305815523583368,0.02742468687433068
6,Connecticut,0.5932414222037939,0.40675857779620606,0.35351231816454165,0.6106561625375765,0.0358315192978819
7,Delaware,0.525653304145574,0.47434669585442607,0.4066219729101108,0.5614995211383226,0.03187850595156656
8,District of Columbia,0.7045293701344657,0.29547062986553435,0.3105095541401274,0.645789101203114,0.04370134465675867
9,Florida,0.5298747080321211,0.4701252919678789,0.44386513086940177,0.5264234782233562,0.029711390907242036
10,Georgia,0.5180884439642267,0.48191155603577335,0.39872684431831495,0.568754312196519,0.032518843485166045
11,Hawaii,0.5763693820224719,0.4236306179775281,0.3554248595505618,0.6215765449438202,0.022998595505617978
12,Idaho,0.5151034712950601,0.48489652870493993,0.4079606141522029,0.568090787716956,0.02394859813084112
13,Illinois,0.5422084087025174,0.4577915912974826,0.36900752525908675,0.5961444290097239,0.03484804573118935
14,Indiana,0.45479141881260315,0.5452085811873969,0.3880147369228998,0.5863299689143032,0.025655294162796945
15,Iowa,0.4933465739821251,0.5066534260178749,0.3608738828202582,0.6189473684210526,0.020178748758689177
16,Kansas,0.529085376767496,0.47091462323250405,0.3686683372113836,0.6062734920350814,0.025058170753534992
17,Kentucky,0.4626451430189748,0.5373548569810253,0.43432455395072217,0.5385160011328236,0.02715944491645426
18,Louisiana,0.450335319344904,0.549664680655096,0.434015485133696,0.5317905765190111,0.03419393834729298
19,Maine,0.5158292187046181,0.48417078129538194,0.4179494626778972,0.5611385419692129,0.02091199535288992
20,Maryland,0.5920260305520928,0.4079739694479072,0.34076359103298187,0.6287688309493122,0.030467578017705846
21,Massachusetts,0.6148493938479561,0.3851506061520439,0.34745025648307565,0.6206712934201885,0.03187845009673583
22,Michigan,0.5036056016728978,0.4963943983271022,0.4170838349914454,0.5518661681769216,0.031049996831632978
23,Minnesota,0.5640795714656536,0.4359204285343465,0.3405384996578333,0.6383415532010288,0.021119947141137883
24,Mississippi,0.46736028798454715,0.5326397120154528,0.45713156854998027,0.5062557618859476,0.03661266956407217
25,Missouri,0.4832675756894331,0.5167324243105669,0.40378600486538424,0.5708649344808553,0.02534906065376045
26,Montana,0.5482780212899186,0.4517219787100814,0.3971195992485911,0.5764558547276143,0.026424546023794616
27,Nebraska,0.5423532616096963,0.4576467383903037,0.335693858096146,0.6440827999455263,0.02022334195832766
28,Nevada,0.5023883504150628,0.49761164958493714,0.38515048926401707,0.5776097945554886,0.03723971618049437
29,New Hampshire,0.5938347495932019,0.4061652504067981,0.3440607485084072,0.63324896040499,0.022690291086602785
30,New Jersey,0.5764543374724816,0.4235456625275184,0.35778932070965047,0.6075626987438668,0.03464798054648268
31,New Mexico,0.5113249148125877,0.4886750851874123,0.4435758669071958,0.5169372619763479,0.039486871116456206
32,New York,0.5517254489462279,0.4482745510537722,0.38955986160923617,0.5774709468108026,0.03296919157996122
33,North Carolina,0.5425753576885679,0.45742464231143215,0.41013272045359833,0.5583856343684097,0.031481645177991895
34,North Dakota,0.5453806115810019,0.45461938841899807,0.33750813272608976,0.6437865972674041,0.01870527000650618
35,Ohio,0.4780392952916164,0.5219607047083836,0.3939465165226124,0.5760852145856259,0.029968268891761664
36,Oklahoma,0.4484094832141473,0.5515905167858527,0.4257934970232853,0.5433473068658189,0.030859196110895833
37,Oregon,0.5818696361007721,0.4181303638992279,0.4066566181672768,0.5625211479897875,0.030822233842935802
38,Pennsylvania,0.4700231413958734,0.5299768586041266,0.400355871886121,0.5702312194932229,0.029412908620656125
39,Rhode Island,0.5623540401681457,0.4376459598318543,0.37996263428304533,0.5927136851938346,0.027323680523120036
40,South Carolina,0.5074840357598979,0.4925159642401022,0.42482758620689653,0.5447765006385696,0.030395913154533844
41,South Dakota,0.5149954559224478,0.4850045440775523,0.337776431384429,0.6373826113299,0.024840957285671008
42,Tennessee,0.46745753675070456,0.5325424632492954,0.42217609871277323,0.5499276410998553,0.027896260187371468
43,Texas,0.5141809839662869,0.4858190160337132,0.3807944542802284,0.5883599730693464,0.030845572650425156
44,Utah,0.6032064128256514,0.3967935871743487,0.33991793110029583,0.6338391067849986,0.0262429621147056
45,Vermont,0.553564692568842,0.44643530743115806,0.3613730667672576,0.6188230856280649,0.01980384760467748
46,Virginia,0.5892392595600067,0.4107607404399934,0.36352836799446625,0.6102013503556337,0.0262702816499
47,Washington,0.5938279573644087,0.4061720426355913,0.3841564468014584,0.5861521553303212,0.029691397868220434
48,West Virginia,0.41315843692054116,0.5868415630794588,0.48327724744179656,0.48210974520980704,0.0346130073483964
49,Wisconsin,0.4964414337163437,0.5035585662836564,0.36715400445892643,0.6106156748413651,0.022230320699708456
50,Wyoming,0.5348319608279546,0.4651680391720454,0.35967059870910306,0.6049410193634542,0.03538838192744269
