state,trump_pos,trump_neg,trump_ratio,clinton_pos,clinton_neg,clinton_ratio,total_pos,total_neg,total_ratio
Alabama,0,0,0,0,0,0,46,36,0.5609756097560976
Alaska,0,0,0,0,0,0,7,10,0.4117647058823529
Arizona,0,0,0,0,0,0,180,160,0.5294117647058824
Arkansas,0,0,0,0,0,0,20,26,0.43478260869565216
California,0,0,0,0,0,0,498,399,0.5551839464882943
Colorado,0,0,0,0,0,0,65,50,0.5652173913043478
Connecticut,0,0,0,0,0,0,55,42,0.5670103092783505
Delaware,0,0,0,0,0,0,44,38,0.5365853658536586
Florida,0,0,0,0,0,0,513,356,0.5903337169159953
Georgia,0,0,0,0,0,0,199,134,0.5975975975975976
Hawaii,0,0,0,0,0,0,37,16,0.6981132075471698
Idaho,0,0,0,0,0,0,11,14,0.44
Illinois,0,0,0,0,0,0,215,146,0.5955678670360111
Indiana,0,0,0,0,0,0,49,38,0.5632183908045977
Iowa,0,0,0,0,0,0,91,56,0.6190476190476191
Kansas,0,0,0,0,0,0,38,21,0.6440677966101694
Kentucky,0,0,0,0,0,0,94,76,0.5529411764705883
Louisiana,0,0,0,0,0,0,66,54,0.55
MaineMaryland,0,0,0,0,0,0,0,0,0
Massachusetts,0,0,0,0,0,0,145,83,0.6359649122807017
Michigan,0,0,0,0,0,0,85,57,0.5985915492957746
Minnesota,0,0,0,0,0,0,41,26,0.6119402985074627
Mississippi,0,0,0,0,0,0,44,36,0.55
Missouri,0,0,0,0,0,0,102,56,0.6455696202531646
Montana,0,0,0,0,0,0,3,5,0.375
Nebraska,0,0,0,0,0,0,28,22,0.56
Nevada,0,0,0,0,0,0,75,61,0.5514705882352942
New Hampshire,0,0,0,0,0,0,38,32,0.5428571428571428
New Jersey,0,0,0,0,0,0,158,127,0.5543859649122806
New Mexico,0,0,0,0,0,0,19,21,0.475
New York,0,0,0,0,0,0,471,328,0.5894868585732165
North Carolina,0,0,0,0,0,0,88,54,0.6197183098591549
North Dakota,0,0,0,0,0,0,3,1,0.75
Ohio,0,0,0,0,0,0,121,73,0.6237113402061856
Oklahoma,0,0,0,0,0,0,56,62,0.4745762711864407
Oregon,0,0,0,0,0,0,72,67,0.5179856115107914
Pennsylvania,0,0,0,0,0,0,224,158,0.5863874345549738
Rhode Island,0,0,0,0,0,0,15,17,0.46875
South Carolina,0,0,0,0,0,0,66,38,0.6346153846153846
South Dakota,0,0,0,0,0,0,10,3,0.7692307692307693
Tennessee,0,0,0,0,0,0,110,89,0.5527638190954773
Texas,0,0,0,0,0,0,376,242,0.6084142394822006
Utah,0,0,0,0,0,0,26,19,0.5777777777777777
Vermont,0,0,0,0,0,0,1,9,0.1
Virginia,0,0,0,0,0,0,201,147,0.5775862068965517
Washington,0,0,0,0,0,0,88,79,0.5269461077844312
West Virginia,0,0,0,0,0,0,143,114,0.556420233463035
Wisconsin,0,0,0,0,0,0,51,34,0.6
Wyoming,0,0,0,0,0,0,3,1,0.75
Total,0,0,0,0,0,0,5091,3733,0.5769492293744334
