state,trump_pos,trump_neg,trump_ratio,clinton_pos,clinton_neg,clinton_ratio,total_pos,total_neg,total_ratio
Alabama,87,59,0.5958904109589042,29,20,0.5918367346938775,122,79,0.6069651741293532
Alaska,16,15,0.5161290322580645,5,6,0.45454545454545453,21,21,0.5
Arizona,287,260,0.5246800731261426,99,85,0.5380434782608695,404,363,0.5267275097783573
Arkansas,30,29,0.5084745762711864,17,20,0.4594594594594595,57,59,0.49137931034482757
California,778,606,0.5621387283236994,334,275,0.548440065681445,1193,906,0.568365888518342
Colorado,81,68,0.5436241610738255,64,39,0.6213592233009708,150,115,0.5660377358490566
Connecticut,90,64,0.5844155844155844,34,27,0.5573770491803278,133,90,0.5964125560538116
Delaware,83,59,0.5845070422535211,48,38,0.5581395348837209,118,93,0.5592417061611374
Florida,787,536,0.5948601662887377,348,285,0.5497630331753555,1152,836,0.579476861167002
Georgia,325,205,0.6132075471698113,141,110,0.5617529880478087,468,314,0.59846547314578
Hawaii,57,29,0.6627906976744186,13,7,0.65,69,39,0.6388888888888888
Idaho,26,21,0.5531914893617021,10,7,0.5882352941176471,35,30,0.5384615384615384
Illinois,322,214,0.6007462686567164,198,125,0.6130030959752322,475,320,0.5974842767295597
Indiana,57,70,0.44881889763779526,41,20,0.6721311475409836,103,92,0.5282051282051282
Iowa,153,112,0.5773584905660377,98,56,0.6363636363636364,220,152,0.5913978494623656
Kansas,61,42,0.5922330097087378,20,12,0.625,85,52,0.6204379562043796
Kentucky,130,114,0.5327868852459017,75,49,0.6048387096774194,213,162,0.568
Louisiana,130,92,0.5855855855855856,24,25,0.4897959183673469,162,125,0.5644599303135889
Maine,32,29,0.5245901639344263,15,7,0.6818181818181818,47,35,0.573170731707317
Maryland,157,107,0.5946969696969697,56,21,0.7272727272727273,214,134,0.6149425287356322
Massachusetts,205,132,0.6083086053412463,106,53,0.6666666666666666,326,182,0.6417322834645669
Michigan,126,102,0.5526315789473685,57,41,0.5816326530612245,190,146,0.5654761904761905
Minnesota,59,34,0.6344086021505376,35,20,0.6363636363636364,100,52,0.6578947368421053
Mississippi,69,63,0.5227272727272727,43,27,0.6142857142857143,111,89,0.555
Missouri,177,89,0.6654135338345865,86,60,0.589041095890411,249,154,0.6178660049627791
Montana,6,16,0.2727272727272727,4,4,0.5,9,19,0.32142857142857145
Nebraska,38,41,0.4810126582278481,15,16,0.4838709677419355,55,54,0.5045871559633027
Nevada,130,88,0.5963302752293578,58,52,0.5272727272727272,192,136,0.5853658536585366
New Hampshire,73,62,0.5407407407407407,39,21,0.65,100,76,0.5681818181818182
New Jersey,260,175,0.5977011494252874,117,76,0.6062176165803109,391,255,0.6052631578947368
New Mexico,40,27,0.5970149253731343,19,14,0.5757575757575758,57,40,0.5876288659793815
New York,746,517,0.5906571654790183,325,221,0.5952380952380952,1072,740,0.5916114790286976
North Carolina,122,82,0.5980392156862745,64,36,0.64,182,122,0.5986842105263158
North Dakota,6,2,0.75,4,0,1.0,8,2,0.8
Ohio,200,116,0.6329113924050633,87,71,0.5506329113924051,299,188,0.6139630390143738
Oklahoma,97,88,0.5243243243243243,48,49,0.4948453608247423,142,129,0.5239852398523985
Oregon,129,113,0.5330578512396694,46,38,0.5476190476190477,171,154,0.5261538461538462
Pennsylvania,349,251,0.5816666666666667,179,132,0.5755627009646302,518,360,0.5899772209567198
Rhode Island,25,24,0.5102040816326531,9,17,0.34615384615384615,34,49,0.40963855421686746
South Carolina,92,75,0.5508982035928144,53,28,0.654320987654321,153,105,0.5930232558139535
South Dakota,15,15,0.5,7,6,0.5384615384615384,24,20,0.5454545454545454
Tennessee,197,132,0.5987841945288754,93,66,0.5849056603773585,295,199,0.597165991902834
Texas,557,388,0.5894179894179894,265,183,0.5915178571428571,811,562,0.5906773488710853
Utah,43,44,0.4942528735632184,17,17,0.5,60,59,0.5042016806722689
Vermont,2,5,0.2857142857142857,3,7,0.3,4,12,0.25
Virginia,288,192,0.6,139,106,0.5673469387755102,451,323,0.582687338501292
Washington,154,127,0.5480427046263345,63,44,0.5887850467289719,225,187,0.5461165048543689
West Virginia,196,145,0.5747800586510264,155,111,0.5827067669172933,335,248,0.5746140651801029
Wisconsin,93,52,0.6413793103448275,40,25,0.6153846153846154,127,71,0.6414141414141414
Wyoming,8,2,0.8,6,2,0.75,13,4,0.7647058823529411
Total,8191,5930,0.5800580695418172,3851,2777,0.5810199155099578,12145,8754,0.5811282836499354
